K,q,log_count,count,avg_ratio,time,n_samples_used,n_steps_used,n_samples_theoretical,n_steps_theoretical,epsilon
11,8,222.5416254871528,4.452459142011491e+96,0.8762249999999999,7066.074689626694,10000,10000,817766399999,25212,0.1
11,9,240.15572769512343,1.9875009066904135e+104,0.8897186363636362,6946.42249751091,10000,10000,817766399999,28553,0.1
11,10,255.55788633890046,9.71359168672975e+110,0.9005145454545455,7195.635086297989,10000,10000,817766399999,31894,0.1
12,2,-178124.43317942304,0.0,0.011361363636363635,5432.788826704025,10000,6180,1413100339199,6180,0.1
12,3,-80720.53470715426,0.0,0.3755215909090909,8740.888138771057,10000,10000,1413100339199,10378,0.1
12,4,128.2808993311029,5.148571082307104e+55,0.7633348484848484,9275.359121322632,10000,10000,1413100339199,14519,0.1
12,5,174.79113693192926,8.143784167051131e+75,0.805939393939394,8987.212264537811,10000,10000,1413100339199,18642,0.1
12,6,210.7243920326033,3.284283679426241e+91,0.8360166666666667,9174.869686365128,10000,10000,1413100339199,22756,0.1
12,7,240.19986758750744,2.0771939411044678e+104,0.8593795454545454,9247.65848851204,10000,10000,1413100339199,26867,0.1
12,8,264.55179865126325,7.823234202527174e+114,0.8762162878787879,9152.293876886368,10000,10000,1413100339199,30975,0.1
12,9,285.5150515333359,9.945150993717839e+123,0.8896003787878788,9085.573042154312,10000,10000,1413100339199,35081,0.1
12,10,303.8688351598757,9.301614410826016e+131,0.9003867424242424,8825.18453168869,10000,10000,1413100339199,39187,0.1
13,2,-211954.38732458392,0.0,0.00805096153846154,7600.360253810883,10000,7454,2332517990399,7454,0.1
13,3,-100043.24411570228,0.0,0.35968846153846157,9307.962505817413,10000,10000,2332517990399,12522,0.1
13,4,150.01153852477182,1.4098840686002245e+65,0.7634451923076924,9480.028812646866,10000,10000,2332517990399,17521,0.1
13,5,204.5529037273342,6.857997872768487e+88,0.8056410256410257,9616.75336265564,10000,10000,2332517990399,22498,0.1
13,6,247.0034522569881,1.8717003702644292e+107,0.8362391025641026,9552.16311120987,10000,10000,2332517990399,27466,0.1
13,7,281.36607960803315,1.5694076619053635e+122,0.8588080128205127,9731.379971504211,10000,10000,2332517990399,32428,0.1
13,8,310.30698777682176,5.815840500646146e+134,0.8765320512820514,9390.027484178543,10000,10000,2332517990399,37388,0.1
13,9,334.882782293294,2.7399613354680304e+145,0.8897512820512821,9510.547043561935,10000,10000,2332517990399,42345,0.1
13,10,356.34755917163244,5.751466412462358e+154,0.9002448717948718,7832.223251581192,10000,10000,2332517990399,47301,0.1
